timestamp,pair,rate,base
2026-05-02 01:55:13,USD/JPY,157.08115,USD
2026-05-02 01:55:13,USD/IDR,17347.982345,USD
2026-05-02 01:55:13,USD/NOK,9.292889,USD
2026-05-02 01:55:13,USD/EUR,0.852919,USD
2026-05-02 01:55:13,USD/GBP,0.737317,USD
2026-05-02 01:55:13,USD/PHP,61.400491,USD
2026-05-02 01:55:13,USD/KRW,1473.124555,USD
2026-05-02 01:55:13,USD/MXN,17.483295,USD
2026-05-02 01:55:13,USD/CNY,6.83733,USD
2026-05-02 01:55:13,USD/INR,95.041538,USD
2026-05-02 01:55:13,USD/KWD,0.307611,USD
2026-05-02 01:55:13,USD/CAD,1.359308,USD
2026-05-02 03:14:11,USD/AED,3.6725,USD
2026-05-02 03:14:11,USD/IRR,1251912.535134,USD
2026-05-02 03:14:11,USD/SAR,3.75,USD
2026-05-02 03:14:11,USD/CAD,1.359308,USD
2026-05-02 03:14:11,USD/INR,95.041538,USD
2026-05-02 03:14:11,USD/CNY,6.83733,USD
2026-05-02 03:14:11,USD/JPY,157.08115,USD
2026-05-02 03:14:11,USD/BRL,4.974579,USD
2026-05-02 03:14:11,USD/KWD,0.307611,USD
2026-05-02 03:14:11,USD/KRW,1473.124555,USD
2026-05-02 03:14:11,USD/NOK,9.292889,USD
2026-05-02 03:14:11,USD/PHP,61.400491,USD
2026-05-02 03:14:11,USD/MXN,17.483295,USD
2026-05-02 03:14:11,USD/IDR,17347.982345,USD
2026-05-02 03:14:11,USD/GBP,0.737317,USD
2026-05-02 03:14:11,USD/EUR,0.852919,USD
2026-05-02 04:27:09,USD/KWD,0.307611,USD
2026-05-02 04:27:09,USD/INR,95.041538,USD
2026-05-02 04:27:09,USD/EUR,0.852919,USD
2026-05-02 04:27:09,USD/SAR,3.75,USD
2026-05-02 04:27:09,USD/IRR,1251912.535134,USD
2026-05-02 04:27:09,USD/JPY,157.08115,USD
2026-05-02 04:27:09,USD/IDR,17347.982345,USD
2026-05-02 04:27:09,USD/CNY,6.83733,USD
2026-05-02 04:27:09,USD/CAD,1.359308,USD
